Temperature_C,Humidity_%,AB1_Students,AB2_Students,AB3_Students,AB4_Students,AB5_Students,MAB1_Students,MAB2_Students,MAB3_Students,MAB4_Students,Active_Windows_Labs,Active_Mac_Labs,Central_Library_Occupancy,Admin_Office_Staff,Glass_Cafeteria_Occupancy,Open_Cafeteria_Occupancy,Auditorium_Active,Boys_Hostel_Load_kWh,Girls_Hostel_Load_kWh,Solar_Generation_kWh,Year,Month,Day_Of_Month,Hour,Day_Encoded,Total_AB_Students,Total_MAB_Students,Total_Students,Total_Hostel_Load,Total_Active_Labs
27.7,50,9,19,13,8,38,35,13,37,22,0,0,8,5,20,10,0,576,520,0,2026,3,20,22,0,87,107,194,1096,0
25.5,53,15,32,5,27,29,19,10,12,15,0,0,13,5,20,10,0,491,481,0,2026,3,16,2,1,108,56,164,972,0
35.6,39,539,443,504,592,647,547,539,553,550,12,3,320,5,277,129,0,521,494,0,2026,5,29,19,0,2725,2189,4914,1015,15
33.5,42,180,212,170,145,199,134,145,131,161,0,0,60,5,94,37,0,495,488,96,2026,5,23,8,2,906,571,1477,983,0
34.6,38,623,554,627,580,570,567,553,597,475,3,8,262,5,264,136,0,542,554,0,2026,5,21,19,4,2954,2192,5146,1096,11
34.6,46,25,27,24,30,26,14,18,22,20,0,0,3,5,20,10,0,571,522,27,2026,5,3,6,3,132,74,206,1093,0
33.9,38,793,897,802,777,769,524,472,514,704,39,37,275,180,450,140,0,378,335,319,2026,3,9,12,1,4038,2214,6252,713,76
35.1,38,568,665,611,510,659,463,489,454,558,19,23,288,180,138,56,0,488,508,79,2026,4,30,17,4,3013,1964,4977,996,42
32.7,41,198,236,216,212,186,139,161,187,236,4,2,91,5,40,14,0,379,314,274,2026,4,18,10,2,1048,723,1771,693,6
33.6,38,89,100,105,109,126,95,100,92,106,4,8,154,5,217,88,0,393,394,310,2026,4,26,12,3,529,393,922,787,12
37.1,38,589,593,454,596,583,579,513,503,550,9,1,236,5,257,109,0,531,497,0,2026,5,4,19,1,2815,2145,4960,1028,10
33.6,42,1455,1169,1141,1336,1051,1157,1044,1157,1300,19,18,120,180,180,62,0,397,386,132,2026,5,19,9,5,6152,4658,10810,783,37
27.9,50,646,561,495,573,722,475,350,529,587,11,12,239,5,274,112,0,428,386,35,2026,1,29,18,4,2997,1941,4938,814,23
36.8,38,683,645,903,822,686,480,639,633,700,43,41,253,180,393,166,0,363,362,325,2026,4,6,12,1,3739,2452,6191,725,84
32.0,61,221,116,176,179,138,127,133,127,135,0,0,10,5,20,10,0,599,615,30,2026,6,4,6,4,830,522,1352,1214,0
37.5,38,851,649,556,806,713,498,557,575,767,28,30,316,180,365,156,0,378,410,288,2026,5,4,12,1,3575,2397,5972,788,58
37.2,38,36,29,28,29,25,22,21,24,24,0,0,211,5,152,49,0,530,540,0,2026,5,10,20,3,147,91,238,1070,0
28.5,41,534,678,382,596,661,464,564,486,528,6,12,276,5,356,122,0,467,400,0,2026,2,16,19,1,2851,2042,4893,867,18
32.3,38,795,771,679,536,717,613,503,681,706,8,6,360,5,306,104,0,463,490,40,2026,3,18,18,6,3498,2503,6001,953,14
31.8,42,435,358,372,483,363,322,346,347,392,0,0,40,5,150,65,0,507,484,52,2026,4,20,7,1,2011,1407,3418,991,0
27.1,47,2,31,25,31,32,37,39,31,14,0,0,1,5,20,10,0,566,529,0,2026,3,4,3,6,121,121,242,1095,0
33.0,38,1816,1404,860,1349,1540,1129,996,1175,1201,24,24,249,180,73,28,0,340,369,222,2026,4,21,10,5,6969,4501,11470,709,48
25.8,47,176,185,192,158,201,172,130,132,154,0,0,60,5,97,35,0,427,381,65,2026,1,18,8,3,912,588,1500,808,0
37.3,38,190,206,166,206,201,175,219,153,211,3,4,136,5,40,16,0,328,338,278,2026,4,11,11,2,969,758,1727,666,7
33.2,49,1511,1396,1328,1073,1412,1146,1401,1096,1399,33,25,120,180,176,58,0,396,364,184,2026,6,30,9,5,6720,5042,11762,760,58
29.1,38,9,5,12,21,16,29,28,28,22,0,0,9,5,13,15,0,325,313,209,2026,1,10,11,2,63,107,170,638,0
29.5,56,11,20,29,14,29,23,21,12,16,0,0,8,5,20,10,0,656,509,0,2026,4,25,4,2,103,72,175,1165,0
28.3,42,1393,1405,1221,1125,1529,1118,1232,1082,1010,27,31,310,180,120,60,0,325,316,114,2026,2,19,16,4,6673,4442,11115,641,58
30.8,38,79,95,92,82,86,81,64,66,69,0,0,135,5,144,60,0,429,417,0,2026,2,7,19,2,434,280,714,846,0
29.6,58,35,20,17,9,6,32,32,40,2,0,0,15,5,20,10,0,690,667,0,2026,6,26,22,0,87,106,193,1357,0
32.2,39,98,97,95,91,70,70,82,65,90,0,0,187,5,181,69,0,509,505,0,2026,4,25,19,2,451,307,758,1014,0
31.1,42,64,59,62,52,80,43,58,50,59,0,0,40,5,99,38,0,442,440,43,2026,4,26,7,3,317,210,527,882,0
38.0,38,1929,2034,1589,1551,1523,1560,1714,1802,1974,31,37,360,180,78,30,0,394,352,261,2026,5,7,11,4,8626,7050,15676,746,68
32.7,47,756,591,579,690,743,540,609,664,779,35,42,360,180,411,141,0,403,380,406,2026,6,25,13,4,3359,2592,5951,783,77
