Date,Day,Time,Temperature_C,Humidity_%,AB1_Students,AB2_Students,AB3_Students,AB4_Students,AB5_Students,MAB1_Students,MAB2_Students,MAB3_Students,MAB4_Students,Active_Windows_Labs,Active_Mac_Labs,Central_Library_Occupancy,Admin_Office_Staff,Glass_Cafeteria_Occupancy,Open_Cafeteria_Occupancy,Auditorium_Active,Boys_Hostel_Load_kWh,Girls_Hostel_Load_kWh,Solar_Generation_kWh,Electricity_Consumption_kWh,Net_Grid_Usage_kWh,Anomaly_Score,Is_Anomaly,Year,Month,Day_Of_Month,Hour,Day_Encoded,Total_AB_Students,Total_MAB_Students,Total_Students,Total_Hostel_Load,Total_Active_Labs
2026-01-01,Thursday,00:00,24.1,59,40,7,1,17,15,14,8,6,34,0,0,2,5,28,11,0,482,479,0,2629.6,2629.6,0.077,0,2026,1,1,0,4,80,62,142,961,0
2026-01-01,Thursday,01:00,23.0,65,2,1,5,13,14,32,38,1,35,0,0,6,5,30,13,0,486,427,0,2633.6,2633.6,-0.0209,1,2026,1,1,1,4,35,106,141,913,0
2026-01-01,Thursday,02:00,22.1,59,26,14,28,37,17,0,10,27,21,0,0,8,5,14,8,0,471,388,0,2435.1,2435.1,-0.029,1,2026,1,1,2,4,122,58,180,859,0
2026-01-01,Thursday,03:00,21.4,58,21,6,5,24,6,22,22,38,16,0,0,1,5,24,13,0,473,415,0,2482.9,2482.9,-0.0347,1,2026,1,1,3,4,62,98,160,888,0
2026-01-01,Thursday,04:00,24.7,58,7,24,5,35,18,40,39,23,36,0,0,6,5,12,5,0,466,401,0,2523.8,2523.8,0.0717,0,2026,1,1,4,4,89,138,227,867,0
2026-01-01,Thursday,05:00,24.6,53,14,18,5,14,6,24,17,29,40,0,0,11,5,15,10,0,475,423,0,2564.0,2564.0,0.0997,0,2026,1,1,5,4,57,110,167,898,0
2026-01-01,Thursday,06:00,24.8,59,11,6,21,8,22,29,21,20,2,0,0,19,5,30,7,0,464,411,14,2471.1,2457.1,0.0364,0,2026,1,1,6,4,68,72,140,875,0
2026-01-01,Thursday,07:00,26.0,44,7,5,14,12,8,29,20,22,17,0,0,7,5,20,5,0,363,375,28,2404.6,2376.6,0.0863,0,2026,1,1,7,4,46,88,134,738,0
2026-01-01,Thursday,08:00,26.4,47,1,25,10,12,8,2,6,29,30,0,0,18,5,20,8,0,360,355,59,2407.1,2348.1,0.1074,0,2026,1,1,8,4,56,67,123,715,0
2026-01-01,Thursday,09:00,27.2,40,12,28,29,20,14,4,8,4,7,0,0,17,5,27,9,0,332,296,101,2259.1,2158.1,0.0645,0,2026,1,1,9,4,103,23,126,628,0
2026-01-01,Thursday,10:00,28.1,45,13,28,18,12,11,7,4,16,15,0,0,2,5,11,6,0,309,298,125,2233.0,2108.0,0.0672,0,2026,1,1,10,4,82,42,124,607,0
2026-01-01,Thursday,11:00,27.5,41,5,25,21,13,19,2,12,12,19,0,0,14,5,26,9,0,304,281,221,2150.2,1929.2,0.0383,0,2026,1,1,11,4,83,45,128,585,0
